BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
hair,down,23,0.000552274,52,0.002180111,-3.947516934,75
hand,soft,42,0.0010085,33,0.001383532,-1.371870583,75
face,good,43,0.001032512,31,0.001299681,-1.258756518,74
leg,still,53,0.001272631,21,0.000880429,1.445466666,74
leg,thin,46,0.001104548,28,0.001173906,-1.062793021,74
eye,quickly,52,0.001248619,21,0.000880429,1.41819371,73
eye,set,53,0.001272631,20,0.000838504,1.517739999,73
hand,finally,53,0.001272631,20,0.000838504,1.517739999,73
lip,still,38,0.000912453,35,0.001467382,-1.60817365,73
face,serious,50,0.001200595,22,0.000922355,1.301663807,72
hair,grey,49,0.001176584,23,0.00096428,1.220168334,72
eye,upward,48,0.001152572,23,0.00096428,1.195266939,71
hand,huge,69,0.001656822,2,8.39E-05,19.75925659,71
head,large,61,0.001464727,10,0.000419252,3.493665658,71
lip,bottom,40,0.000960476,31,0.001299681,-1.353163257,71
eye,keen,60,0.001440715,10,0.000419252,3.436392451,70
face,brown,42,0.0010085,28,0.001173906,-1.164011404,70
face,flush,33,0.000792393,37,0.001551233,-1.957655543,70
finger,together,52,0.001248619,18,0.000754654,1.654559328,70
hand,warm,25,0.000600298,45,0.001886634,-3.14283079,70
head,close,46,0.001104548,24,0.001006205,1.097736477,70
head,shave,59,0.001416703,11,0.000461177,3.071926585,70
leg,apart,36,0.000864429,34,0.001425457,-1.649016155,70
lip,full,23,0.000552274,47,0.001970485,-3.567947998,70
eye,watery,53,0.001272631,16,0.000670803,1.897174999,69
leg,short,46,0.001104548,23,0.00096428,1.14546415,69
eye,light,41,0.000984488,27,0.001131981,-1.149816143,68
face,big,54,0.001296643,14,0.000586953,2.209109433,68
head,violently,49,0.001176584,19,0.000796579,1.477045878,68
heart,full,48,0.001152572,20,0.000838504,1.37455698,68
arm,own,43,0.001032512,24,0.001006205,1.026144968,67
arm,slowly,56,0.001344667,11,0.000461177,2.915726928,67
face,blank,43,0.001032512,24,0.001006205,1.026144968,67
head,merely,44,0.001056524,23,0.00096428,1.095661361,67
leg,good,51,0.001224607,16,0.000670803,1.825583489,67
arm,thin,28,0.000672333,38,0.001593158,-2.369594643,66
eye,briefly,38,0.000912453,28,0.001173906,-1.28653892,66
eye,far,46,0.001104548,20,0.000838504,1.317283773,66
face,slowly,37,0.000888441,29,0.001215831,-1.368499893,66
hand,clasp,37,0.000888441,29,0.001215831,-1.368499893,66
hand,firmly,42,0.0010085,24,0.001006205,1.002281131,66
eye,great,31,0.000744369,34,0.001425457,-1.914986503,65
eye,heavy,48,0.001152572,17,0.000712728,1.617125859,65
eye,tightly,44,0.001056524,21,0.000880429,1.200010062,65
finger,own,42,0.0010085,23,0.00096428,1.045858572,65
hand,forward,49,0.001176584,16,0.000670803,1.75399198,65
mouth,still,47,0.00112856,18,0.000754654,1.495467085,65
foot,still,44,0.001056524,20,0.000838504,1.260010565,64
hair,blonde,5,0.00012006,59,0.002473587,-20.60300184,64
hair,very,33,0.000792393,31,0.001299681,-1.640197887,64
head,simply,38,0.000912453,26,0.001090055,-1.194643283,64
