BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
foot,small,14,0.000648569,29,0.001354571,-2.088554213,43
hair,damp,20,0.000926526,23,0.001074315,-1.159507684,43
hair,down,7,0.000324284,36,0.001681536,-5.185375977,43
hair,light,19,0.0008802,24,0.001121024,-1.273601117,43
lip,own,22,0.001019179,21,0.000980896,1.039028824,43
lip,soft,27,0.001250811,16,0.000747349,1.673662907,43
eye,wet,22,0.001019179,20,0.000934187,1.090980265,42
face,calm,22,0.001019179,20,0.000934187,1.090980265,42
face,good,25,0.001158158,17,0.000794059,1.458529766,42
finger,lightly,20,0.000926526,22,0.001027605,-1.109094306,42
hair,wild,20,0.000926526,22,0.001027605,-1.109094306,42
leg,apart,13,0.000602242,29,0.001354571,-2.249212229,42
leg,own,24,0.001111832,18,0.000840768,1.322400321,42
lip,still,18,0.000833874,24,0.001121024,-1.344356735,42
mouth,little,15,0.000694895,27,0.001261152,-1.814881592,42
body,dead,19,0.0008802,22,0.001027605,-1.167467691,41
eye,ahead,19,0.0008802,22,0.001027605,-1.167467691,41
face,sad,24,0.001111832,17,0.000794059,1.400188575,41
face,slightly,15,0.000694895,26,0.001214443,-1.747663755,41
face,swell,18,0.000833874,23,0.001074315,-1.288341871,41
face,tire,21,0.000972853,20,0.000934187,1.041390253,41
foot,little,16,0.000741221,25,0.001167733,-1.575418048,41
hand,close,26,0.001204484,15,0.00070064,1.719120418,41
head,violently,25,0.001158158,16,0.000747349,1.549687876,41
hair,blonde,1,4.63E-05,39,0.001821664,-39.32243449,40
eye,wild,21,0.000972853,18,0.000840768,1.157100281,39
face,black,24,0.001111832,15,0.00070064,1.586880385,39
face,lovely,12,0.000555916,27,0.001261152,-2.26860199,39
head,enough,22,0.001019179,17,0.000794059,1.283506194,39
face,down,21,0.000972853,17,0.000794059,1.225165003,38
face,line,27,0.001250811,11,0.000513803,2.434418773,38
head,heavy,23,0.001065505,15,0.00070064,1.520760369,38
leg,little,23,0.001065505,15,0.00070064,1.520760369,38
leg,still,22,0.001019179,16,0.000747349,1.363725331,38
skin,soft,11,0.00050959,27,0.001261152,-2.474838534,38
eye,grey,23,0.001065505,14,0.000653931,1.62938611,37
eye,old,20,0.000926526,17,0.000794059,1.166823813,37
eye,watery,24,0.001111832,13,0.000607221,1.831015829,37
foot,stock,18,0.000833874,19,0.000887477,-1.064282415,37
hair,fine,14,0.000648569,23,0.001074315,-1.656439548,37
head,big,30,0.00138979,7,0.000326965,4.250572461,37
leg,thin,16,0.000741221,21,0.000980896,-1.323351161,37
mouth,still,18,0.000833874,19,0.000887477,-1.064282415,37
eye,great,10,0.000463263,26,0.001214443,-2.621495633,36
face,large,21,0.000972853,15,0.00070064,1.388520337,36
hair,forward,15,0.000694895,21,0.000980896,-1.411574571,36
hair,shiny,11,0.00050959,25,0.001167733,-2.291517161,36
hair,wavy,21,0.000972853,15,0.00070064,1.388520337,36
hand,flat,22,0.001019179,14,0.000653931,1.558543236,36
hand,forward,24,0.001111832,12,0.000560512,1.983600482,36
heart,good,19,0.0008802,17,0.000794059,1.108482622,36
lip,tightly,9,0.000416937,27,0.001261152,-3.024802653,36
arm,slowly,17,0.000787547,18,0.000840768,-1.067577407,35
eye,far,19,0.0008802,16,0.000747349,1.177762786,35
eye,set,24,0.001111832,11,0.000513803,2.163927798,35
eye,tightly,10,0.000463263,25,0.001167733,-2.520668878,35
face,slowly,19,0.0008802,16,0.000747349,1.177762786,35
hair,neatly,15,0.000694895,20,0.000934187,-1.344356735,35
head,far,20,0.000926526,15,0.00070064,1.322400321,35
leg,bad,27,0.001250811,8,0.000373675,3.347325813,35
mouth,close,16,0.000741221,19,0.000887477,-1.197317717,35
skin,hot,15,0.000694895,20,0.000934187,-1.344356735,35
face,clearly,22,0.001019179,12,0.000560512,1.818300442,34
face,gray,21,0.000972853,13,0.000607221,1.602138851,34
hair,beautiful,4,0.000185305,30,0.00140128,-7.562006633,34
hair,grey,14,0.000648569,20,0.000934187,-1.440382216,34
hand,bloody,15,0.000694895,19,0.000887477,-1.277138898,34
hand,rough,19,0.0008802,15,0.00070064,1.256280305,34
head,dark,26,0.001204484,8,0.000373675,3.223350783,34
head,long,19,0.0008802,15,0.00070064,1.256280305,34
head,small,14,0.000648569,20,0.000934187,-1.440382216,34
heart,heavy,14,0.000648569,20,0.000934187,-1.440382216,34
arm,free,20,0.000926526,13,0.000607221,1.525846524,33
body,hard,26,0.001204484,7,0.000326965,3.683829466,33
face,brown,22,0.001019179,11,0.000513803,1.983600482,33
face,clean,17,0.000787547,16,0.000747349,1.053787756,33
face,sweet,12,0.000555916,21,0.000980896,-1.764468214,33
finger,cold,13,0.000602242,20,0.000934187,-1.551180848,33
hand,hot,12,0.000555916,21,0.000980896,-1.764468214,33
hand,sometimes,14,0.000648569,19,0.000887477,-1.368363105,33
head,full,19,0.0008802,14,0.000653931,1.346014613,33
shoulder,own,19,0.0008802,14,0.000653931,1.346014613,33
arm,down,16,0.000741221,16,0.000747349,-1.008267551,32
arm,white,8,0.000370611,24,0.001121024,-3.024802653,32
eye,down,16,0.000741221,16,0.000747349,-1.008267551,32
eye,up,13,0.000602242,19,0.000887477,-1.473621805,32
eye,upward,16,0.000741221,16,0.000747349,-1.008267551,32
face,big,22,0.001019179,10,0.000467093,2.18196053,32
face,cold,14,0.000648569,18,0.000840768,-1.296343994,32
face,warm,9,0.000416937,23,0.001074315,-2.576683742,32
hair,silver,23,0.001065505,9,0.000420384,2.534600616,32
head,large,25,0.001158158,7,0.000326965,3.542143717,32
head,vigorously,14,0.000648569,18,0.000840768,-1.296343994,32
shoulder,narrow,15,0.000694895,17,0.000794059,-1.142703225,32
face,quite,14,0.000648569,17,0.000794059,-1.224324883,31
foot,cold,12,0.000555916,19,0.000887477,-1.596423622,31
hair,close,21,0.000972853,10,0.000467093,2.082780506,31
hair,gently,14,0.000648569,17,0.000794059,-1.224324883,31
hair,tangle,12,0.000555916,19,0.000887477,-1.596423622,31
hair,up,9,0.000416937,22,0.001027605,-2.464654014,31
hand,outstretch,18,0.000833874,13,0.000607221,1.373261872,31
head,good,15,0.000694895,16,0.000747349,-1.075485388,31
lip,pale,10,0.000463263,21,0.000980896,-2.117361857,31
lip,pink,11,0.00050959,20,0.000934187,-1.833213729,31
body,heavy,18,0.000833874,12,0.000560512,1.487700361,30
eye,keen,17,0.000787547,13,0.000607221,1.296969546,30
face,completely,19,0.0008802,11,0.000513803,1.713109507,30
face,heavy,18,0.000833874,12,0.000560512,1.487700361,30
face,narrow,15,0.000694895,15,0.00070064,-1.008267551,30
lip,white,14,0.000648569,16,0.000747349,-1.152305773,30
shoulder,wide,26,0.001204484,4,0.000186837,6.446701566,30
arm,fold,16,0.000741221,13,0.000607221,1.22067722,29
arm,little,7,0.000324284,22,0.001027605,-3.168840875,29
face,puffy,10,0.000463263,19,0.000887477,-1.915708347,29
finger,strong,15,0.000694895,14,0.000653931,1.062643115,29
hair,glossy,8,0.000370611,21,0.000980896,-2.646702321,29
hair,reddish,11,0.00050959,18,0.000840768,-1.649892356,29
hand,softly,11,0.00050959,18,0.000840768,-1.649892356,29
heart,very,18,0.000833874,11,0.000513803,1.622945849,29
lip,hard,16,0.000741221,13,0.000607221,1.22067722,29
mouth,very,22,0.001019179,7,0.000326965,3.117086471,29
arm,up,16,0.000741221,12,0.000560512,1.322400321,28
body,lean,16,0.000741221,12,0.000560512,1.322400321,28
body,low,17,0.000787547,11,0.000513803,1.53278219,28
face,eye,13,0.000602242,15,0.00070064,-1.163385636,28
arm,full,3,0.000138979,24,0.001121024,-8.066140408,27
body,forward,10,0.000463263,17,0.000794059,-1.714054837,27
eye,dull,14,0.000648569,13,0.000607221,1.068092567,27
face,impassive,21,0.000972853,6,0.000280256,3.471300843,27
